ID;TITULO;MES;AÑ;AUTORES;REVISTA;CITACIONES;REFERENCIAS
677;Phenotyping Flowering in Canola (Brassica napus L.) and Estimating Seed Yield Using an Unmanned Aerial Vehicle-Based Imagery;jun-17;2021;"Zhang, T; Vail, S; (...); Shirtliffe, SJ";FRONTIERS IN PLANT SCIENCE;1;45
678;Use of Monoclonal Antibodies in the Sensitive Detection and Neutralization of Botulinum Neurotoxin Serotype B;Dec;2015;"Cheng, LW; Henderson, TD; (...); Stanker, LH";TOXINS;6;36
679;Impact of a complex gender-transformative intervention on maternal and child health outcomes in the eastern Democratic Republic of Congo: protocol of a longitudinal parallel mixed-methods study;Jan14;2020;"Bapolisi, WA; Ferrari, G; (...); Merten, S";BMC PUBLIC HEALTH;3;58
680;Control over high peak-power laser light and laser-driven X-rays;Apr1;2018;"Zhao, BZ; Banerjee, S; (...); Umstadter, D";OPTICS COMMUNICATIONS;3;24
681;Winter Wheat Yield Forecasting: a Comparative Analysis of Results of Regression and Biophysical Models;Apr1;2013;"Kogan, F; Kussul, NN; (...); Lavrenyuk, AN";JOURNAL OF AUTOMATION AND INFORMATION SCIENCES;30;43
682;How build angle and post-processing impact roughness and corrosion of additively manufactured 316L stainless steel;jul-30;2020;"Melia, MA; Duran, JG; (...); Schindelholz, EJ";NPJ MATERIALS DEGRADATION;11;103
683;Mg-24(p, alpha)Na-21 reaction study for spectroscopy of Na-21;Oct;2015;"Cha, SM; Chae, KY; (...); Peters, WA";JOURNAL OF THE KOREAN PHYSICAL SOCIETY;2;19
684;Multipole moments of water molecules and the aqueous solvation of monovalent ions;Feb;2017;Rodgers, JM and Ichiye, T;JOURNAL OF MOLECULAR LIQUIDS;8;44
685;Exploring the subsidiarity principle in policing and the operations of the Nigeria Police Force;Feb;2018;Odeyemi, TI and Obiyan, AS;AFRICAN SECURITY REVIEW;1;51
686;In-situ Tension of Dendrite-Reinforced Zr-based Metallic-Glass-Matrix Composites;Aug;2014;"Yang, HJ; Qiao, JW; (...); Zhang, Y";ACTA METALLURGICA SINICA-ENGLISH LETTERS;5;24
687;Effect of laser power on defect, texture, and microstructure of a laser powder bed fusion processed 316L stainless steel;feb-15;2019;"Choo, H; Sham, KL; (...); Garlea, E";MATERIALS & DESIGN;106;50
688;Deformation and fracture behavior of a laser powder bed fusion processed stainless steel: In situ synchrotron x-ray computed microtomography study;Apr;2021;"Choo, H; White, LP; (...); Garlea, E";ADDITIVE MANUFACTURING;2;49
689;Classical transport equations for burning gas-metal plasmas;Sep;2014;"Molvig, K; Simakov, AN and Vold, EL";PHYSICS OF PLASMAS;34;17
690;Oedometric Small-Angle Neutron Scattering: In Situ Observation of Nanopore Structure During Bentonite Consolidation and Swelling in Dry and Hydrous CO2 Environments;mar-20;2018;"Dewers, TA; Heath, JE; (...); Taylor, M";ENVIRONMENTAL SCIENCE & TECHNOLOGY;4;52
691;Licensing and Competition for Services in Open Source Software;Dec;2013;"August, T; Shin, H and Tunca, TI";INFORMATION SYSTEMS RESEARCH;14;51
692;Spectroscopic study of the radionuclide Na-21 for the astrophysical F-17(alpha, p)Ne-20 reaction rate;Aug31;2017;"Cha, SM; Chae, KY; (...); Strauss, S";PHYSICAL REVIEW C;3;22
693;X-ray amplification dynamics at similar to 2.8 angstrom in intense laser irradiated xenon clusters: multiple hole dynamics;jun-28;2011;"Petrova, TB; Whitney, KG and Davis, J";JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS;4;15
694;COMPARISON OF SEVERAL PARADIGMS FOR ACCELERATING PHYSICAL SIMULATION ON A PC;jun-28;2020;Vassilev, TI;INTERNATIONAL JOURNAL ON INFORMATION TECHNOLOGIES AND SECURITY;-;22
695;Oxytetracycline, copper, and zinc effects on nitrification processes and microbial activity in two soil types;Nov;2020;"Tang, Q; Xia, LL; (...); Yan, XY";FOOD AND ENERGY SECURITY;-;63
696;Early mortality experience in a large military cohort and a comparison of mortality data sources;Nov;2010;"Hooper, TI; Gackstetter, GD; (...); Smith, TC";POPULATION HEALTH METRICS;12;33
697;High-sensitivity silicon ultraviolet p plus -i-n avalanche photodiode using ultra-shallow boron gradient doping;Aug21;2017;"Xia, ZY; Zang, K; (...); Ma, ZQ";APPLIED PHYSICS LETTERS;6;28
698;Structural and electronic properties of molecular beam epitaxially grown Ni1+xTiSn films;jun-01;2017;"Rice, AD; Kawasaki, JK; (...); Palmstrom, CJ";JOURNAL OF CRYSTAL GROWTH;9;25
699;Performance and durability of anion exchange membrane water electrolyzers using down-selected polymer electrolytes;oct-12;2021;"Motz, AR; Li, DG; (...); Kim, YS";JOURNAL OF MATERIALS CHEMISTRY A;2;55
700;Temperature dependent deformation of the B2 austenite phase of a NiTi shape memory alloy;Dec;2013;"Benafan, O; Noebe, RD; (...); Vaidyanathan, R";INTERNATIONAL JOURNAL OF PLASTICITY;91;95
701;Solitary Oxygen Dopant Emission from Carbon Nanotubes Modified by Dielectric Metasurfaces;Jun;2017;"Ma, XD; James, AR; (...); Brener, I";ACS NANO;14;56
702;Variations in indicators of the health sector and the pharmaceutical market in Russia during 2020;May-aug;2021;"Ovod, AI; Oleynikova, TA; (...); Menshikova, OV";REVISTA DE LA UNIVERSIDAD DEL ZULIA;-;22
703;Data adapter for querying and transformation between SQL and NoSQL database;Dec;2016;"Liao, YT; Zhou, JZ; (...); Chung, YC";FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE;26;26
704;Highly scalable discrete-particle simulations with novel coarse-graining: accessing the microscale;Dec;2018;"Mattox, TI; Larentzos, JP; (...); Plimpton, SJ";MOLECULAR PHYSICS;10;29
705;A Bayesian approach to modeling diffraction profiles and application to ferroelectric materials;Feb;2017;"Iamsasri, T; Guerrier, J; (...); Jones, JL";JOURNAL OF APPLIED CRYSTALLOGRAPHY;2;27
706;Kinetics and mechanism of mechanochemical synthesis of hafnium nitride ceramics in a planetary ball mill;Dec15;2019;"Nepapushev, AA; Buinevich, VS; (...); Mukasyan, AS";CERAMICS INTERNATIONAL;2;51
707;The GeGaLo index: Geopolitical gains and losses after energy transition;Nov;2019;"Overland, I; Bazilian, M; (...); Westphal, K";ENERGY STRATEGY REVIEWS;18;82
708;Potential pitfalls in the development of smart cities and mitigation measures: An exploratory study;Aug;2019;Lam, PTI and Ma, RQ;CITIES;21;124
709;Hydrogen absorption properties of amorphous (Ni(0.6)Nb(0.4-)yTay)(100-x)Zr-x membranes;Feb;2017;"Palumbo, O; Trequattrini, F; (...); Paolone, A";PROGRESS IN NATURAL SCIENCE-MATERIALS INTERNATIONAL;13;35
710;Potential pitfalls of smart city development: A study on parking mobile applications (apps) in Hong Kong;Sep;2018;"Ma, RQ; Lam, PTI and Leung, CK";TELEMATICS AND INFORMATICS;10;87
711;Assessment of winter wheat water-saving potential in the groundwater overexploitation district of the North China Plain;Jan-feb;2020;"Jiang, YL; Wang, XH; (...); Chen, F";AGRONOMY JOURNAL;3;55
712;Development of tourism is in the epoch of economically-politically reforms and war in Ukraine;Jan-feb;2020;"Kovalska, LV; Shchuka, GP; (...); Tkachuk, TI";JOURNAL OF GEOLOGY GEOGRAPHY AND GEOECOLOGY;-;10
713;Effect of atorvastatin on oxidative damage and inflammation in experimental hindlimb ischemia-reperfusion model;Dec12;2018;"Trujillo-Rangel, WA; Castillo-Romero, A; (...); Garcia-Benavides, L";EUROPEAN JOURNAL OF INFLAMMATION;-;13
714;Removal of dissolved organic matter from raw water using zero valent iron-carbonaceous conjugated microporous polymer nanocomposites;Oct;2018;"Chaukura, N; Moyo, W; (...); Nkambule, TI";PHYSICS AND CHEMISTRY OF THE EARTH;6;39
715;STFT-like time frequency representations of nonstationary signal with arbitrary sampling schemes;sept-05;2016;"Yu, SJ; You, XG; (...); Zhao, XY";NEUROCOMPUTING;16;44
716;Fabrication of Releasable Single-Crystal Silicon-Metal Oxide Field-Effect Devices and Their Deterministic Assembly on Foreign Substrates;Aug23;2011;"Chung, HJ; Kim, TI; (...); Rogers, JA";ADVANCED FUNCTIONAL MATERIALS;48;49
717;Immunologic and Tissue Biocompatibility of Flexible/Stretchable Electronics and Optoelectronics;Apr;2014;"Park, G; Chung, HJ; (...); Lee, KM";ADVANCED HEALTHCARE MATERIALS;71;59
718;Strain Effects on Rashba Spin-Orbit Coupling of 2D Hole Gases in GeSn/Ge Heterostructures;Jul;2021;"Tai, CT; Chiu, PY; (...); Li, JY";ADVANCED MATERIALS;4;69
719;High-Efficiency, Microscale GaN Light-Emitting Diodes and Their Thermal Properties on Unusual Substrates;jun-11;2012;"Kim, TI; Jung, YH; (...); Rogers, JA";SMALL;161;15
720;Reinvestigation of high pressure polymorphism in hafnium metal;jun-21;2014;"Pandey, KK; Gyanchandani, J; (...); Sikka, SK";JOURNAL OF APPLIED PHYSICS;20;34
721;All-Printable ZnO Quantum Dots/Graphene van der Waals Heterostructures for Ultrasensitive Detection of Ultraviolet Light;Apr;2017;"Gong, MG; Liu, QF; (...); Wu, JZ";ACS NANO;120;32
722;Effect of processing parameters and strut dimensions on the microstructures and hardness of stainless steel 316L lattice-emulating structures made by powder bed fusion;Apr;2021;"Britt, C; Montgomery, CJ; (...); Beese, AM";ADDITIVE MANUFACTURING;3;73
723;Impact of Dietary Supplementation of Flaxseed Meal on Intestinal Morphology, Specific Enzymatic Activity, and Cecal Microbiome in Broiler Chickens;Aug;2021;"Popescu, RG; Voicu, SN; (...); Dinischiotu, A";APPLIED SCIENCES-BASEL;-;73
724;Deterministic assembly of releasable single crystal silicon-metal oxide field-effect devices formed from bulk wafers;may-06;2013;"Kim, TI; Jung, YH; (...); Rogers, JA";APPLIED PHYSICS LETTERS;25;27
725;Flexible Vertical Light Emitting Diodes;oct-22;2012;"Kim, RH; Kim, S; (...); Rogers, JA";SMALL;44;22
726;Who Are the Victims of NGRI Acquittees? A Study of Belgian Internees;oct-22;2019;"Jeandarme, I; Vandenbosch, L; (...); Bogaerts, S";VIOLENCE AND VICTIMS;2;57
727;Materials and Designs for Wirelessly Powered Implantable Light-Emitting Systems;sept-24;2012;"Kim, RH; Tao, H; (...); Rogers, JA";SMALL;83;31
728;Moringa stenopetala bark: A novel green adsorbent for the removal of metal ions from industrial effluents;Oct;2018;"Kebede, TG; Dube, S; (...); Nindi, MM";PHYSICS AND CHEMISTRY OF THE EARTH;11;39
729;In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process;Aug;2019;"Guo, QL; Zhao, C; (...); Chen, LY";ADDITIVE MANUFACTURING;71;64
730;Unusual Pressure Effect on the Shear Modulus in MgAl2O4 Spinel;nov-21;2013;"Zou, YT; Greaux, S; (...); Higo, Y";JOURNAL OF PHYSICAL CHEMISTRY C;16;53
731;Grafted non-ordered niobium-silica materials: Versatile catalysts for the selective epoxidation of various unsaturated fine chemicals;oct-15;2014;"Tiozzo, C; Bisio, C; (...); Guidotti, M";CATALYSIS TODAY;29;61
732;Localized Changes of Stainless Steel Powder Characteristics During Selective Laser Melting Additive Manufacturing;Mar;2019;"Galicki, D; List, F; (...); Hayes, C";METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;15;28
733;Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing;Oct;2019;"Kiss, AM; Fong, AY; (...); Weker, JN";ADVANCED ENGINEERING MATERIALS;18;41
734;Deformation behavior and irradiation tolerance of 316 L stainless steel fabricated by direct energy deposition;Jun;2021;"Shiau, CH; McMurtrey, MD; (...); Sun, C";MATERIALS & DESIGN;6;50
735;Epidermal Electronics;Aug12;2011;"Kim, DH; Lu, NS; (...); Rogers, JA";SCIENCE;3,045;33
736;Optical arbitrary waveform generation;Nov;2010;Cundiff, ST and Weiner, AM;NATURE PHOTONICS;329;61
737;Magnetic resonance spectroscopy of an atomically thin material using a single-spin qubit;feb-03;2017;"Lovchinsky, I; Sanchez-Yamagishi, JD; (...); Lukin, MD";SCIENCE;79;30
738;Stretchable batteries with self-similar serpentine interconnects and integrated wireless recharging systems;Feb;2013;"Xu, S; Zhang, YH; (...); Rogers, JA";NATURE COMMUNICATIONS;944;34
739;Sparse thermal data for cellular automata modeling of grain structure in additive manufacturing;Sep;2020;"Rolchigo, M; Stump, B; (...); Plotkowski, A";MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING;7;73
740;A systems chemical biology study of malate synthase and isocitrate lyase inhibition in Mycobacterium tuberculosis during active and NRP growth;Dec;2013;"May, EE; Leitao, A; (...); Oprea, TI";COMPUTATIONAL BIOLOGY AND CHEMISTRY;12;30
741;Texture inheritance and variant selection through an hcp-bcc-hcp phase transformation;Jun;2010;"Daymond, MR; Holt, RA; (...); Vogel, SC";ACTA MATERIALIA;86;41
742;Restricted-space ab initio models for double ionization by strong laser pulses;jul-11;2018;"Efimov, DK; Maksymov, A; (...); Zakrzewski, J";PHYSICAL REVIEW A;10;62
743;Type III secretion system effectors form robust and flexible intracellular virulence networks;mar-12;2021;"Ruano-Gallego, D; Sanchez-Garrido, J; (...); Frankel, G";SCIENCE;18;134
744;Thermomechanical cycling of a NiTi shape memory alloy-macroscopic response and microstructural evolution;May;2014;"Benafan, O; Noebe, RD; (...); Vaidyanathan, R";INTERNATIONAL JOURNAL OF PLASTICITY;55;89
745;Cost of agronomic biofortification of wheat with zinc in China;Sep;2016;"Wang, YH; Zou, CQ; (...); Zhang, YQ";AGRONOMY FOR SUSTAINABLE DEVELOPMENT;42;39
746;Fabrication and application of flexible, multimodal light-emitting devices for wireless optogenetics;Dec;2013;"McCall, JG; Kim, TI; (...); Rogers, JA";NATURE PROTOCOLS;136;50
747;Strain engineered pyrochlore at high pressure;may-22;2017;"Rittman, DR; Turner, KM; (...); Mao, WL";SCIENTIFIC REPORTS;16;64
748;Injectable, Cellular-Scale Optoelectronics with Applications for Wireless Optogenetics;Apr12;2013;"Kim, TI; McCall, JG; (...); Bruchas, MR";SCIENCE;767;32
749;Scleractinian corals (Fungiidae, Agariciidae and Euphylliidae) of Pulau Layang-Layang, Spratly Islands, with a note on Pavona maldivensis (Gardiner, 1905);Apr12;2015;"Waheed, Z; Benzoni, F; (...); Hoeksema, BW";ZOOKEYS;21;115
750;Adaptive numerical algorithms in space weather modeling;feb-01;2012;"Toth, G; van der Holst, B; (...); Opher, M";JOURNAL OF COMPUTATIONAL PHYSICS;430;91
